crude version 0.62, Copyright (C) 1999 Juha Laine and Sampo Saaristo
crude comes with ABSOLUTELY NO WARRANTY!
This is free software, and you are welcome to redistribute it
under GNU GENERAL PUBLIC LICENSE Version 2.
ID=30 SEQ=39 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.299555 Rx=1109936732.299476 SIZE=1472
ID=30 SEQ=40 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.309555 Rx=1109936732.309470 SIZE=1472
ID=30 SEQ=41 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.319555 Rx=1109936732.319464 SIZE=1472
ID=30 SEQ=42 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.329555 Rx=1109936732.329458 SIZE=1472
ID=30 SEQ=43 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.339555 Rx=1109936732.339577 SIZE=1472
ID=30 SEQ=44 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.349555 Rx=1109936732.349571 SIZE=1472
ID=30 SEQ=45 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.359555 Rx=1109936732.359566 SIZE=1472
ID=30 SEQ=46 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.369555 Rx=1109936732.369560 SIZE=1472
ID=30 SEQ=47 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.379555 Rx=1109936732.379554 SIZE=1472
ID=30 SEQ=48 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.389555 Rx=1109936732.389549 SIZE=1472
ID=30 SEQ=49 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.399555 Rx=1109936732.399542 SIZE=1472
ID=30 SEQ=50 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.409555 Rx=1109936732.409536 SIZE=1472
ID=30 SEQ=51 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.419555 Rx=1109936732.419530 SIZE=1472
ID=30 SEQ=52 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.429555 Rx=1109936732.429524 SIZE=1472
ID=30 SEQ=53 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.439555 Rx=1109936732.439518 SIZE=1472
ID=30 SEQ=54 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.449555 Rx=1109936732.449514 SIZE=1472
